file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00130_0057_231179_to_232664,མཐུ་བྱད་སྣ་ཚོགས་སྦྱངས་ནས་འོང་འདུག ,mthu byad sna tshogs sbyangs nas 'ong 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00130_0057_231179_to_232664.wav,STT_AB,2,34,1.485,wav16k/STT_AB00130_0057_231179_to_232664.wav,མཐུ་བཅས་སྣ་ཚོགས་སྦྱངས་ནས་འོང་འདུ
STT_AB00130_0058_233389_to_234959,འདི་མྱུར་དུ་མེད་པར་མ་བྱས་ན།  ,'di myur du med par ma byas na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00130_0058_233389_to_234959.wav,STT_AB,2,29,1.57,wav16k/STT_AB00130_0058_233389_to_234959.wav,འདི་མྱུར་དུ་མེད་པར་མ་བྱས་ན།
STT_AB00128_0175_742559_to_743942,ནང་དུ་ལོག་ཡོང་བའི་སྐབས།  ,nang du log yong ba'i skabs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00128_0175_742559_to_743942.wav,STT_AB,2,25,1.383,wav16k/STT_AB00128_0175_742559_to_743942.wav,ནང་དུ་ལོག་ཡོང་བའི་སྐབས།
STT_AB00130_0061_242232_to_243126,ཞེས་ཟེར་བ་ན།  ,zhes zer ba na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00130_0061_242232_to_243126.wav,STT_AB,2,14,0.894,wav16k/STT_AB00130_0061_242232_to_243126.wav,ཞེས་ཟེར་བ་ན།
STT_AB00130_0062_243852_to_247075,རྒྱལ་པོ་ཁྲི་སྲོང་གིས་ཅུང་མ་དགྱེས་པའི་ཉམས་དང་བཅས།  ,rgyal po khri srong gis cung ma dgyes pa'i nyams dang bcas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00130_0062_243852_to_247075.wav,STT_AB,2,50,3.223,wav16k/STT_AB00130_0062_243852_to_247075.wav,རྒྱལ་པོ་ཁྲི་སྲོང་གིས་ཅུང་མ་དགྱེས་པའི་ཉམས་དང་བཅས།
STT_AB00130_0063_248779_to_249910,ཁྱེད་བློན་པོ་རྣམས་ཀྱིས།  ,khyed blon po rnams kyis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00130_0063_248779_to_249910.wav,STT_AB,2,25,1.131,wav16k/STT_AB00130_0063_248779_to_249910.wav,ཁྱེད་བློན་པོ་རྣམས་ཀྱིས།
STT_AB00128_0187_792390_to_794129,ང་ཕ་ཡི་བུ་ཡིན།  ,nga pha yi bu yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00128_0187_792390_to_794129.wav,STT_AB,2,16,1.739,wav16k/STT_AB00128_0187_792390_to_794129.wav,ང་ཕ་ཡི་བུ་ཡིན།
STT_AB00128_0192_805958_to_807460,དེ་ནས་རྒྱལ་པོས་བློན་པོ་རྣམས་ལ།  ,de nas rgyal pos blon po rnams la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00128_0192_805958_to_807460.wav,STT_AB,2,32,1.502,wav16k/STT_AB00128_0192_805958_to_807460.wav,དེ་ནས་རྒྱལ་པོས་བློན་པོ་རྣམས་ལ།
STT_AB00128_0180_771280_to_771921,ཅེད་ཟེར།  ,ced zer/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00128_0180_771280_to_771921.wav,STT_AB,2,10,0.641,wav16k/STT_AB00128_0180_771280_to_771921.wav,ཅེས་ཟེར།
STT_AB00128_0181_772478_to_773085,རྒྱལ་པོས།  ,rgyal pos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00128_0181_772478_to_773085.wav,STT_AB,2,11,0.607,wav16k/STT_AB00128_0181_772478_to_773085.wav,རྒྱལ་པོས།
STT_AB00128_0182_774014_to_778131,འོ་ན་བྲན་དཀར་བཟའ་སྒྲོན་སྐྱིད་ཤེས་སམ་གསུངས་པ་ན།  ,'o na bran dkar bza' sgron skyid shes sam gsungs pa na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00128_0182_774014_to_778131.wav,STT_AB,2,48,4.117,wav16k/STT_AB00128_0182_774014_to_778131.wav,འོ་ན་བྲན་དཀར་བཟའ་སྒྲོན་སྐྱིད་ཤེས་སམ་གསུངས་པ་ན།
STT_AB00128_0185_783075_to_785404,ཟེར་ནས་མུ་མཐུད་ཕྱུགས་ཟོགས་དེད་དེ་ཕྱིན་པ་རེད།  ,zer nas mu mthud phyugs zogs ded de phyin pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00128_0185_783075_to_785404.wav,STT_AB,2,46,2.329,wav16k/STT_AB00128_0185_783075_to_785404.wav,ཟེར་ནས་མུ་མཐུད་ཕྱུགས་ཟོག་བདད་དེ་ཕྱིན་པ་རེད།
